ESM1b_AVE_91,ESM1b_AVE_497,ESM1b_AVE_315
0.486316842,0.736495799,0.635316903
0.529068362,0.529280162,0.746132786
0.553955692,0.712248772,0.498778
0.250945493,0.604197806,0.576047441
0.504631328,0.70442841,0.555969591
0.594378851,0.727408538,0.702803863
0.369242178,0.607775616,0.611109205
0.500425036,0.318304779,0.962878958
0.645076169,0.636370859,0.680909472
0.522402864,0.611301084,0.731902148
0.359414964,0.570234392,0.701928778
0.334526124,0.708279291,0.26832298
0.355000635,0.750248904,0.368172922
0.247642797,0.352364159,0.624213684
0.214108932,0.277235114,0.425158383
0.732406674,0.665336252,0.202721574
0.488524794,0.597425567,0.449531179
0.397707114,0.629604537,0.375530372
0.435297914,0.378669386,0.303440006
0.913457079,0.879988532,0.114773956
0.809840372,0.85075793,0.068705933
0.887104621,0.891229309,0.123226075
0.676833118,0.698596703,0.26362301
0.671978778,0.6862607,0.267223956
0.649916092,0.693266993,0.236329979
0.662729088,0.703147464,0.225157207
0.856048143,0.92969846,0.11040682
0.837277338,0.817416777,0.133468678
0.941644832,0.837199723,0.091427756
0.838746165,0.699804319,0.210513806
0.601435851,0.624682052,0.380432641
0.670518494,0.674539155,0.234647235
0.831818183,0.853159124,0.126587646
0.688082458,0.656307603,0.271976744
0.809424465,0.827775101,0.068057062
0.91485379,0.891474149,0.113599126
0.823869432,0.861634732,0.088881464
0.649970872,0.688117439,0.242549739
0.883376015,0.88313087,0.084817896
0.66279981,0.662804225,0.249885593
0.846969958,0.835095048,0.145756158
0.672940654,0.675387235,0.239966502
0.692463574,0.672527173,0.259280042
0.618818024,0.689461487,0.241368598
0.657710393,0.71728979,0.239320163
0.761353395,0.720077718,0.223896171
0.629282999,0.612838946,0.22543505
0.754056954,0.832259621,0.168840559
0.830482025,0.698157677,0.30493674
0.773653433,0.745981923,0.214225469
0.752555909,0.689580551,0.206019123
0.642438524,0.65850276,0.356836153
0.860054678,0.776050198,0.300982794
0.562931451,0.604778259,0.232407043
0.708777464,0.7859298,0.207287753
0.69826058,0.627824441,0.23504161
0.726751611,0.631530141,0.354444929
0.780020315,0.834019503,0.113407865
0.604524555,0.696352783,0.214618869
0.733740494,0.737710864,0.24023256
0.821039844,0.697651509,0.284113569
0.789908894,0.70443198,0.254291009
0.681489259,0.673866,0.312555175
0.543826726,0.85316093,0.279395178
0.654829293,0.707708505,0.190403288
0.541684237,0.821808088,0.176808146
0.765821176,0.752255347,0.227921989
0.743902672,0.569663007,0.551902717
0.649100787,0.617075959,0.256166365
0.636805708,0.704303702,0.149935352
0.663351703,0.705607228,0.178064016
0.7646145,0.74003669,0.302716201
0.540968719,0.782040349,0.225305296
0.761937007,0.68859166,0.246191616
0.586908466,0.63285235,0.225465667
0.642498795,0.606936326,0.148065332
0.841532686,0.749218863,0.145318594
0.608739193,0.679615354,0.239459478
0.744515665,0.758834133,0.212548575
0.697352338,0.591609883,0.300171979
0.621678354,0.582648286,0.304561077
0.645315908,0.738828971,0.221029685
0.599665255,0.762832757,0.208449019
0.739362443,0.750300412,0.233968072
0.757988951,0.758897219,0.238352518
0.73431178,0.807076259,0.201489359
0.656316684,0.69874553,0.192919391
0.65728357,0.600990405,0.212400879
0.743687005,0.702615713,0.336609035
0.673996793,0.685042229,0.305225411
0.766377929,0.762239271,0.221092647
0.771451619,0.742721208,0.234782804
0.847915544,0.870477687,0.103571286
0.679374243,0.656129351,0.255774709
0.730551421,0.758120601,0.196498084
0.544475984,0.719797095,0.295845945
0.65637581,0.697230866,0.162120633
0.739144387,0.746354774,0.223825102
0.460341437,0.66263312,0.203126622
0.73034803,0.737282824,0.239825289
0.811962638,0.810135951,0.170066001
0.724033904,0.829434257,0.184334748
0.774001039,0.759238433,0.229156616
0.573743402,0.640418289,0.05592701
0.689229842,0.631186312,0.23587201
0.511433858,0.645394753,0.073200616
0.475039,0.703201612,0.121640467
0.573493676,0.691192659,0.056911349
0.682401349,0.679129958,0.149228753
0.772601076,0.803839647,0.125809551
0.507302451,0.580483158,0.408997929
0.686190641,0.744323696,0.225149749
0.660541275,0.731197675,0.159653039
0.587113599,0.661045296,0.113630564
0.698621457,0.6870627,0.097108866
0.716711086,0.753326763,0.135300999
0.570036147,0.773993383,0.096568539
0.489639744,0.750752605,0.232816658
0.57378403,0.64995943,0.135599505
0.663914246,0.693590746,0.110326019
0.59172669,0.690604736,0.232616349
0.555317515,0.710690962,0.126581522
0.571268934,0.697226823,0.09193165
0.665749476,0.744306613,0.138609136
0.565839393,0.683757025,0.192040552
0.656680133,0.668776072,0.079568483
0.596053806,0.763129483,0.159133443
0.639687804,0.656458263,0.115258762
0.690888655,0.646824713,0.222708649
0.624503844,0.685268723,0.256557422
0.561646522,0.672070186,0.254201057
0.600255387,0.685532958,0.207366621
0.707422427,0.710746925,0.202104619
0.735286132,0.589184304,0.162907588
0.564431351,0.697133333,0.134413574
0.621579229,0.618290071,0.066606202
0.566218503,0.677905345,0.076847402
0.68246824,0.634225876,0.199393425
0.740666302,0.722212482,0.180754754
0.582413129,0.695207805,0.229618468
0.561532152,0.594839383,0.094068788
0.598381205,0.598525437,0.211760885
0.569813296,0.688415403,0.135781187
0.477955403,0.67874792,0.200321986
0.519290171,0.561897799,0.428124416
0.565865257,0.631660251,0.027939884
0.619674456,0.639689136,0.211967437
0.492943702,0.741902288,0.095314601
0.586159603,0.651530511,0.154572993
0.534777408,0.718281537,0.170312971
0.595856918,0.767893284,0.236367848
0.816683811,0.744759564,0.093297125
0.566972675,0.62605501,0.223591457
0.496637137,0.661783405,0.510401596
0.255360751,0.787064301,0.067196353
0.637854515,0.653809442,0.145943006
0.626255196,0.687202822,0.249018454
0.227461013,0.821685995,0
0.509922759,0.664475458,0.07446692
0.536089146,0.597652257,0.05779118
0.578193847,0.691399142,0.069712353
0.529723012,0.605678913,0.3546164
0.509378349,0.642267492,0.243886736
0.727713737,0.775378109,0.145644706
0.606028752,0.668619779,0.139797804
